Name,Created,Total Channel Members,Messages Posted,Messages from Users,Users Posting Messages,Users Reading Messages,Change in Users Posting Messages
battery,"Nov 15, 2017",7,94,51,7,,
comptest20180604,"May 16, 2018",7,52,51,7,,
fmvibrationtest,"Jul 10, 2018",2,3,3,2,,
general,"Feb 6, 2017",30,1077,905,23,,
ground-station-equip,"May 16, 2018",1,1,1,2,,
groundstation,"May 24, 2018",5,37,36,5,,
groundstationsoftware,"Jun 19, 2018",6,47,45,6,,
organisation,"Feb 7, 2017",25,428,358,19,,
random,"Feb 6, 2017",30,65,42,11,,
safetyreview,"Jun 19, 2017",17,18,16,6,,
solarpanel,"Nov 9, 2017",8,87,33,8,,
structureteam,"Nov 1, 2017",4,25,20,5,,
tenkouadcs,"Apr 17, 2017",13,470,396,10,,
tenkoucomms,"Feb 7, 2017",14,235,172,12,,
tenkoumechanical,"Mar 21, 2017",18,302,193,14,,
tenkouobc,"Mar 21, 2017",14,291,260,10,,
tenkoupayloads,"May 10, 2017",21,497,366,17,,
tenkoupower,"Feb 7, 2017",15,977,766,13,,
tenkousoftware,"Mar 27, 2017",12,193,168,11,,
勉強会,"Mar 13, 2018",4,34,34,5,,
