Name,chats_sent,Account Creation Date
A,3153,"Feb 6, 2017"
B,1,"Feb 7, 2017"
C,73,"Jan 18, 2018"
D,296,"Nov 20, 2017"
E,442,"Nov 2, 2017"
F,19,"May 31, 2018"
G,733,"Mar 31, 2017"
H,12,"Aug 4, 2017"
I,1724,"Feb 7, 2017"
J,1769,"Feb 7, 2017"
K,918,"Mar 13, 2017"
L,4,"Mar 9, 2017"
M,690,"May 25, 2017"
N,11,"Jul 10, 2017"
O,753,"Feb 21, 2017"
P,0,"Jun 2, 2018"
Q,278,"Mar 23, 2017"
R,446,"Apr 6, 2017"
S,18,"May 24, 2018"
T,10,"May 24, 2018"
U,6,"Oct 25, 2017"
W,9,"May 31, 2017"
X,510,"Mar 16, 2017"
Y,1023,"Mar 13, 2017"
Z,144,"Oct 1, 2017"
1,1427,"Mar 9, 2017"
2,316,"Feb 7, 2017"
3,71,"Mar 13, 2017"
4,118,"Jan 17, 2018"
5,165,"Mar 27, 2017"
